loc_rowid,koi_disposition,koi_duration,koi_depth,koi_model_snr
1,1,"2,96","615,80","35,80"
2,1,"4,51","874,80","25,80"
3,null,"1,78","10829,00","76,30"
4,0,"2,41","8079,20","505,60"
5,1,"1,65","603,30","40,90"
6,1,"4,59","1517,50","66,50"
7,1,"3,14","686,00","40,20"
8,1,"2,43","226,50","15,00"
9,0,"5,02","233,70","47,70"
10,1,"3,53","4914,30","161,90"
11,1,"1,74","14231,00","4304,30"
12,1,"3,89","6674,70","5945,90"
13,1,"3,20","9145,70","1741,50"
14,1,"2,63","131,10","50,60"
15,0,"3,64","17984,00","622,10"
16,0,"12,22","8918,70","214,70"
17,0,"4,80","74284,00","2317,00"
18,0,"9,44","10479,00","303,40"
19,1,"3,29","1288,30","87,20"
20,1,"1,58","1912,70","65,40"
21,0,"3,61","397,90","48,20"
22,1,"3,03","831,00","60,60"
23,1,"2,60","363,30","28,90"
24,1,"3,60","217,40","14,10"
25,0,"6,81","24927,00","994,00"
26,1,"3,46","857,20","34,30"
27,1,"2,17","934,70","28,20"
28,1,"2,88","750,80","61,80"
29,0,"1,52","2211,70","181,10"
30,0,"53,41","18091,00","642,70"
31,0,"7,63","5123,30","85,30"
32,1,"5,59","724,20","34,70"
33,1,"4,63","2213,90","51,20"
34,1,"2,58","1036,90","47,10"
35,1,"3,26","1121,90","33,20"
36,1,"4,80","1804,80","80,00"
37,1,"6,47","652,00","19,10"
38,null,"2,23","9802,00","696,50"
39,0,"3,38","860,40","48,30"
40,1,"3,74","460,00","29,50"
41,0,"5,25","11766,00","513,40"
42,1,"2,95","601,60","166,70"
43,1,"10,60","2793,10","141,10"
44,1,"2,25","1041,60","43,40"
45,1,"3,17","1487,30","128,60"
46,1,"2,51","16814,00","1406,80"
47,0,"14,56","8503,70","236,10"
48,1,"2,66","426,70","35,60"
49,1,"3,15","1010,90","71,10"
50,1,"2,63","1023,50","37,90"
51,1,"3,57","1510,90","48,20"
52,1,"3,35","511,70","88,40"
53,1,"3,00","192,40","47,10"
54,0,"2,31","24446,00","835,60"
55,1,"3,02","1127,10","28,90"
56,1,"2,08","1306,10","38,70"
57,1,"4,01","1122,30","21,70"
58,1,"2,68","5226,50","345,20"
59,null,"3,36","6256,00","36,90"
60,1,"1,12","821,70","38,90"
61,0,"6,50","14489,00","745,20"
62,1,"2,00","971,20","82,40"
63,null,"0,56","556,40","13,70"
64,null,"3,13","23,20","8,70"
65,1,"2,52","2804,50","71,00"
66,1,"4,31","2793,30","221,10"
67,1,"7,54","3001,00","312,10"
68,1,"2,76","1219,80","37,10"
69,1,"1,37","1053,30","30,30"
70,1,"3,89","916,60","35,80"
71,1,"6,80","615,20","83,70"
72,0,"3,81","725,30","39,00"
73,0,"2,11","1620,60","103,60"
74,1,"3,01","837,50","64,50"
75,1,"4,05","950,40","51,50"
76,0,"2,51","459,90","11,20"
77,1,"2,72","1123,50","47,60"
78,1,"5,04","931,30","20,10"
79,1,"5,15","6105,60","277,20"
80,0,"1,89","1976,30","112,60"
81,0,"3,84","871,70","38,20"
82,1,"2,43","382,10","38,90"
83,1,"2,08","1304,00","50,80"
84,0,"2,08","10967,00","299,70"
85,null,"3,51","5741,10","183,60"
86,1,"3,32","1494,70","35,20"
87,1,"4,76","1394,70","26,00"
88,1,"5,35","104,00","17,10"
89,1,"2,19","520,80","15,90"
90,1,"2,31","8544,80","370,80"
91,1,"5,23","986,80","32,10"
92,1,"2,39","7969,00","799,70"
93,null,"2,00","21725,00","340,50"
94,0,"6,22","322,60","14,20"
95,1,"3,14","1019,80","53,90"
96,0,"7,79","16918,00","636,80"
97,1,"8,93","10566,00","138,80"
98,1,"3,26","55,80","14,40"
99,1,"6,62","20280,00","347,20"
100,1,"4,80","488,00","11,60"
101,0,"2,15","816,10","38,80"
102,0,"5,41","589,20","48,50"
103,1,"1,96","15044,00","1009,30"
104,1,"2,34","1008,70","70,60"
105,1,"4,06","2105,50","78,50"
106,1,"1,91","1632,60","71,60"
107,0,"2,01","1339,20","64,90"
108,1,"4,41","893,60","46,10"
109,1,"4,17","140,70","50,60"
110,1,"4,79","418,00","28,50"
111,1,"5,79","993,00","39,70"
112,1,"2,60","22335,00","1996,70"
113,null,"2,93","4523,60","76,80"
114,1,"3,60","2472,10","113,20"
115,1,"3,83","1182,30","27,50"
116,1,"1,34","824,30","17,90"
117,1,"2,27","1558,00","56,40"
118,0,"4,35","82872,00","1300,00"
119,null,"35,51","2450,60","296,90"
120,0,"5,06","616,00","138,20"
121,1,"6,10","430,20","107,40"
122,1,"4,38","1175,40","37,80"
123,0,"3,31","15148,00","389,00"
124,null,"1,86","8098,00","89,60"
125,1,"3,32","15337,00","166,00"
126,1,"3,16","887,90","39,30"
127,1,"2,51","417,50","21,30"
128,1,"2,97","780,70","70,80"
129,0,"3,07","962,40","50,30"
130,0,"4,72","1177,90","110,20"
131,1,"1,84","10859,00","568,20"
132,1,"3,90","3081,40","86,60"
133,1,"4,38","50,00","14,70"
134,1,"5,18","5073,80","117,20"
135,0,"3,83","16228,00","323,40"
136,0,"3,50","44791,00","1671,10"
137,0,"2,19","2453,90","117,20"
138,1,"8,22","3341,80","266,30"
139,1,"6,74","504,60","49,10"
140,1,"4,98","285,00","35,10"
141,1,"3,39","115,90","19,90"
142,1,"3,58","120,30","50,40"
143,1,"7,16","370,30","19,40"
144,1,"2,91","1037,30","48,90"
145,1,"3,57","862,70","20,90"
146,0,"3,09","1268,10","50,50"
147,1,"2,63","875,40","38,40"
148,1,"2,34","391,80","22,80"
149,0,"2,28","6044,30","269,70"
150,1,"2,52","9768,00","482,30"
151,1,"2,71","3812,10","99,50"
152,1,"3,52","510,60","35,90"
153,1,"2,97","1024,40","54,40"
154,1,"4,02","647,50","25,70"
155,1,"2,75","655,90","24,80"
156,1,"3,10","1149,40","52,70"
157,1,"4,32","1563,80","51,70"
158,1,"2,86","2877,40","240,60"
159,1,"3,07","2020,30","116,10"
160,1,"6,27","1187,50","74,60"
161,1,"4,22","25391,00","748,10"
162,1,"11,20","3604,60","160,90"
163,0,"2,94","4357,20","122,10"
164,1,"5,94","269,60","62,00"
165,1,"3,18","750,60","49,20"
166,1,"3,98","1442,40","62,60"
167,null,"8,23","20715,00","271,80"
168,1,"2,73","1123,60","53,00"
169,1,"4,79","1572,60","45,50"
170,1,"2,26","812,40","22,60"
171,1,"4,69","1626,00","27,40"
172,1,"5,03","22839,00","907,80"
173,null,"7,31","15179,00","561,10"
174,1,"2,52","908,10","59,40"
175,1,"11,34","1646,20","355,70"
176,1,"1,61","421,20","10,70"
177,null,"2,59","5732,90","184,10"
178,0,"2,74","1159,80","51,70"
179,1,"1,81","315,80","30,70"
180,0,"3,11","33004,00","1630,40"
181,1,"2,18","781,20","64,80"
182,1,"2,73","1154,00","86,10"
183,1,"4,56","840,90","37,80"
184,1,"1,66","569,10","21,10"
185,null,"8,14","7430,50","223,50"
186,1,"15,28","1141,70","139,30"
187,0,"1,88","1014,30","58,30"
188,1,"3,98","1843,50","88,00"
189,1,"6,40","3644,30","155,50"
190,1,"2,90","702,30","59,30"
191,1,"1,89","391,60","41,40"
192,1,"4,11","1772,50","62,40"
193,1,"2,06","488,20","30,50"
194,1,"2,33","961,40","62,80"
195,1,"2,86","881,30","51,80"
196,null,"2,48","42450,00","307,50"
197,0,"2,52","218,50","18,50"
198,1,"4,41","7425,90","247,90"
199,1,"2,90","450,70","29,20"
200,1,"2,10","451,60","39,70"
201,1,"2,26","755,90","60,80"
202,1,"3,25","353,60","21,90"
203,1,"3,09","2260,00","157,80"
204,0,"2,05","20285,00","192,30"
205,1,"2,39","1410,70","87,20"
206,1,"2,74","1250,60","57,60"
207,1,"2,37","439,00","14,90"
208,0,"5,07","401,10","76,80"
209,1,"5,07","1200,70","53,30"
210,1,"3,78","298,50","125,60"
211,1,"3,04","1254,90","64,50"
212,1,"1,18","299,20","15,00"
213,1,"5,01","549,40","45,10"
214,0,"6,70","1590,70","60,40"
215,1,"7,56","3136,40","46,80"
216,0,"2,20","24905,00","125,40"
217,null,"2,11","37492,00","1011,60"
218,1,"2,90","3036,10","175,20"
219,1,"3,88","507,30","142,00"
220,1,"2,84","1382,40","52,70"
221,1,"1,96","516,30","41,60"
222,1,"2,31","1333,60","48,50"
223,1,"4,32","759,20","31,00"
224,1,"2,63","767,30","18,20"
225,1,"2,52","620,50","50,40"
226,0,"1,00","1823,50","147,40"
227,1,"2,07","16053,00","388,20"
228,1,"4,20","6911,10","435,90"
229,1,"5,34","936,10","71,90"
230,1,"7,41","9065,20","915,70"
231,null,"2,21","6465,70","210,50"
232,null,"6,79","7958,70","182,10"
233,1,"4,24","6932,30","431,40"
234,1,"1,65","724,20","42,60"
235,1,"3,95","942,50","25,40"
236,1,"3,77","252,10","60,20"
237,0,"3,86","12861,00","85,80"
238,1,"4,04","2590,70","123,80"
239,1,"2,98","1328,50","86,20"
240,1,"2,08","14281,00","1072,10"
241,1,"2,45","1897,80","58,00"
242,1,"2,15","1037,40","41,40"
243,1,"6,51","366,00","114,90"
244,1,"4,15","1432,10","36,90"
245,1,"2,18","807,60","44,40"
246,1,"1,82","509,20","37,80"
247,1,"2,47","756,10","30,90"
248,1,"3,05","1309,70","46,20"
249,1,"2,58","538,60","36,40"
250,1,"8,59","685,40","15,40"
251,1,"3,00","1675,60","64,50"
252,1,"1,92","362,30","14,20"
253,1,"3,23","17859,00","1669,10"
254,null,"3,16","581,60","48,10"
255,1,"5,08","895,50","21,60"
256,1,"2,26","575,80","28,10"
257,1,"2,43","634,10","21,40"
258,0,"3,25","1692,90","119,40"
259,1,"2,59","867,00","47,70"
260,1,"2,09","763,30","23,80"
261,1,"2,54","175,20","12,90"
262,1,"4,16","973,50","55,90"
263,1,"5,17","1015,80","44,80"
264,1,"2,60","251,30","21,20"
265,1,"4,82","363,40","63,10"
266,1,"4,45","952,50","22,70"
267,1,"3,16","7912,70","633,40"
268,0,"3,84","4147,60","54,50"
269,1,"2,98","1151,40","77,40"
270,null,"1,12","863,70","69,20"
271,1,"4,30","7163,30","502,30"
272,0,"10,01","1695,00","203,50"
273,1,"3,22","16653,00","1173,90"
274,0,"3,18","1030,90","90,10"
275,1,"5,04","23530,00","1077,80"
276,0,"8,31","59130,00","1667,30"
277,1,"1,80","1398,20","123,50"
278,0,"3,02","969,70","45,40"
279,1,"6,53","15664,00","690,30"
280,0,"16,94","66068,00","1843,80"
281,1,"3,41","1144,90","49,90"
282,1,"3,44","1110,70","55,00"
283,1,"4,23","1506,90","60,70"
284,1,"1,90","426,10","25,60"
285,1,"3,23","697,50","48,10"
286,0,"11,48","13494,00","529,90"
287,1,"3,44","1240,20","79,70"
288,null,"2,97","1012,60","26,60"
289,0,"4,23","40293,00","1398,80"
290,1,"3,31","1473,40","128,30"
291,0,"3,82","20953,00","547,80"
292,1,"2,68","280,10","30,60"
293,1,"3,19","273,60","25,20"
294,1,"2,19","159,60","22,70"
295,1,"3,61","307,80","21,90"
296,1,"4,69","2090,30","293,70"
297,1,"2,91","11382,00","1838,40"
298,0,"3,12","1037,40","37,20"
299,1,"2,92","1539,10","81,10"
300,1,"3,74","611,30","25,60"
301,1,"3,90","796,80","26,70"
302,1,"5,19","1910,50","117,00"
303,1,"6,20","1719,30","78,70"
304,1,"8,87","1009,60","37,50"
305,null,"3,87","234,00","18,20"
306,1,"2,43","2237,00","124,70"
307,1,"1,10","741,70","87,80"
308,1,"3,25","11145,00","2040,70"
309,1,"4,05","988,40","45,10"
310,1,"3,39","994,50","51,00"
311,1,"1,90","213,00","25,30"
312,1,"2,34","297,80","16,70"
313,0,"15,74","1896,70","86,10"
314,1,"5,07","446,80","32,20"
315,1,"4,53","430,70","16,90"
316,1,"3,28","174,00","15,10"
317,null,"11,65","3020,30","57,90"
318,1,"4,94","824,90","97,10"
319,null,"23,14","858,10","39,20"
320,null,"1,62","195,00","93,40"
321,1,"1,18","574,40","32,20"
322,0,"3,54","186,70","28,90"
323,0,"0,87","1973,30","458,60"
324,0,"2,78","18541,00","534,50"
325,0,"38,19","128,40","91,70"
326,0,"1,82","4511,70","322,30"
327,null,"1,74","673,50","37,10"
328,null,"1,86","1495,80","179,60"
329,0,"2,14","747,50","116,10"
330,0,"4,05","598,20","140,60"
331,0,"6,70",,
332,0,"9,08","113,80","24,30"
333,0,"2,09","433,20","62,30"
334,1,"11,19","3487,50","235,70"
335,0,"0,88","321,50","19,60"
336,0,"2,92","248,00","22,20"
337,1,"3,64","443,30","37,50"
338,1,"4,16","178,50","10,90"
339,0,"4,32","250,20","37,50"
340,1,"3,98","640,90","41,00"
341,0,"4,26","186,20","136,30"
342,0,"3,44","118,60","27,00"
343,null,"9,41","1474,90","35,70"
344,1,"13,57","145,10","25,50"
345,null,"11,28","110,40","23,60"
346,1,"1,83","30222,00","1252,50"
347,null,"4,30","372,20","267,40"
348,0,"6,00","4399,10","270,10"
349,null,"3,84","42,20","37,20"
350,null,"10,56","195,60","71,20"
351,1,"3,56","68,90","53,60"
352,0,"6,75","26900,00","184,30"
353,0,"3,16","570,60","35,60"
354,0,"1,08","324,60","63,60"
355,1,"1,46","340,90","73,50"
356,1,"1,47","277,10","39,70"
357,1,"3,17","393,10","29,80"
358,0,"4,97","2121,90","187,60"
359,1,"2,32","154,90","27,20"
360,1,"2,58","223,40","24,50"
361,0,"7,46",,
362,1,"4,49","270,70","24,80"
363,0,"3,73","399,60","20,10"
364,null,"3,05","1428,20","105,30"
365,0,"2,59","17971,00","39,60"
366,0,"9,04","15304,00","298,00"
367,0,"5,99","36348,00","154,60"
368,0,"11,17","18848,00","882,60"
369,0,"2,01","2779,30","195,20"
370,0,"7,01","1349,10","76,70"
371,0,"24,25","867,50","249,30"
372,0,"3,28","625,60","56,30"
373,0,"2,69","2144,40","221,10"
374,0,"3,69","32,80","6,10"
375,0,"5,56","633,10","66,90"
376,null,"12,25","4158,10","60,90"
377,1,"4,65","568,90","29,80"
378,1,"3,53","246,80","17,70"
379,1,"7,36","507,80","15,50"
380,1,"3,20","447,80","11,80"
381,1,"1,71","196,00","21,10"
382,1,"8,73","570,30","35,20"
383,1,"4,61","414,50","42,20"
384,1,"6,54","503,00","36,10"
385,0,"2,93","400,90","24,00"
386,1,"6,02","270,60","38,70"
387,0,"4,21","4843,90","115,30"
388,0,"3,57","1916,20","103,40"
389,0,"1,86","2547,40","182,20"
390,0,"1,89","2006,20","148,00"
391,0,"23,55","3414,40","103,40"
392,1,"8,64","2894,10","243,50"
393,0,"7,69","780,40","24,20"
394,null,"1,57","790,10","19,40"
395,0,"2,23","260,50","22,20"
396,1,"3,05","517,60","38,40"
397,1,"7,16","445,90","17,40"
398,1,"2,93","178,20","48,80"
399,0,"3,57","78,70","8,60"
400,0,"4,74","1269,90","59,20"
401,0,"10,23","232,50","54,40"
402,0,"2,82","36,70","34,70"
403,0,"5,41","2931,60","58,10"
404,1,"1,98","182,60","38,00"
405,1,"6,29","148,10","38,90"
406,null,"2,17","205,20","19,10"
407,0,"2,31","58,00","27,20"
408,null,"3,12","5372,30","71,60"
409,1,"2,49","1419,60","28,10"
410,null,"3,16","840,00","14,40"
411,1,"2,34","531,50","14,90"
412,1,"6,85","747,50","79,30"
413,1,"1,02","200,90","41,00"
414,1,"2,72","801,50","41,90"
415,1,"3,59","764,20","26,30"
416,0,"4,11","9883,00","63,00"
417,0,"2,08","1145,50","121,10"
418,1,"2,80","7765,00","1225,30"
419,0,"0,94","536,70","37,30"
420,1,"1,37","129,20","21,60"
421,1,"6,35","284,70","33,40"
422,1,"4,66","124,50","20,90"
423,1,"8,54","242,90","22,80"
424,0,"2,29","48,30","16,50"
425,0,"23,28","66894,00","765,00"
426,0,"4,47","61625,00","930,30"
427,0,"3,53","2468,50","245,60"
428,0,"1,45","1907,40","185,00"
429,0,"5,74","2124,30","102,80"
430,1,"5,67","1086,10","34,50"
431,0,"2,95","564,60","64,80"
432,1,"0,93","563,10","19,60"
433,1,"1,19","376,20","22,60"
434,1,"5,02","653,50","80,80"
435,1,"6,12","910,00","25,30"
436,null,"6,05","2319,80","52,80"
437,0,"51,35","25457,00","1328,20"
438,1,"2,06","300,20","32,40"
439,1,"5,68","398,60","26,20"
440,1,"3,44","355,60","23,00"
441,1,"5,23","115,40","15,70"
442,0,"10,17","944,30","86,20"
443,1,"6,06","434,40","28,30"
444,0,"2,41","85,30","21,00"
445,0,"5,54","273110,00","3420,30"
446,0,"5,00","20703,00","717,40"
447,0,"3,14","1138,50","253,40"
448,1,"2,74","473,00","115,40"
449,0,"3,01","2010,30","100,00"
450,0,"22,70","778,90","55,90"
451,1,"3,40","611,40","34,10"
452,0,"1,05","1996,30","251,90"
453,0,"3,68","802,80","48,20"
454,0,"2,45","903,90","86,10"
455,0,"3,02","903,50","82,40"
456,1,"3,90","864,30","37,00"
457,null,"28,30","8708,00","164,00"
458,1,"3,22","236,60","19,40"
459,null,"2,75","237,60","20,00"
460,0,"14,58","1058,50","65,80"
461,0,"14,76","2017,90","79,40"
462,0,"17,57","5559,70","414,40"
463,0,"2,48","5144,40","175,90"
464,0,"4,41","20901,00","282,60"
465,null,"3,14","12295,00","537,70"
466,0,"4,87","43547,00","938,20"
467,0,"3,18","1223,70","73,90"
468,1,"2,94","1074,90","74,00"
469,1,"3,73","224,10","10,70"
470,null,"3,03","166,10","12,10"
471,1,"1,62","197,60","82,60"
472,1,"1,81","274,40","16,90"
473,0,"2,76","39043,00","349,20"
474,0,"3,29","7829,20","124,60"
475,0,"2,40","381,30","27,10"
476,0,"1,57","456,70","53,70"
477,1,"5,73","597,80","31,30"
478,1,"4,89","271,80","16,40"
479,1,"7,38","471,20","18,50"
480,null,"0,91",,
481,0,"5,31","87750,00","704,50"
482,1,"4,26","1331,40","41,90"
483,1,"2,71","931,50","14,00"
484,0,"1,31","82,20","33,10"
485,1,"13,14","313,90","54,80"
486,1,"1,63","308,70","29,50"
487,null,"1,39","2607,00","361,10"
488,1,"3,68","549,10","31,50"
489,1,"8,04","1396,20","30,50"
490,null,"6,64","359,00","5,20"
491,0,"4,91","10624,00","146,30"
492,1,"3,26","952,70","178,00"
493,0,"8,70","5450,00","63,20"
494,0,"7,13",,
495,0,"3,97","1345,80","117,70"
496,0,"6,11",,
497,1,"3,69","628,70","23,00"
498,1,"5,46","641,80","12,20"
499,1,"6,34","340,10","28,00"
500,1,"5,46","395,90","38,60"
501,null,"31,27","1367,70","61,70"
502,1,"18,50","266,80","29,00"
503,1,"1,81","135,20","23,40"
504,0,"7,54","28066,00","425,60"
505,0,"2,74","2721,70","63,70"
506,1,"8,46","4634,90","155,00"
507,0,"1,86","219,20","45,50"
508,1,"3,52","477,40","38,00"
509,0,"2,39","104,10","19,30"
510,1,"3,81","12440,00","100,80"
511,0,"1,94","4702,60","269,80"
512,0,"3,42","6496,00","63,40"
513,0,"2,92","4456,80","78,70"
514,0,"5,63","426,60","76,40"
515,0,"0,89","1038,10","202,20"
516,1,"2,03","643,40","20,80"
517,1,"2,29","417,40","27,90"
518,0,"2,99","547,30","34,00"
519,1,"3,09","2318,90","116,20"
520,1,"7,04","7382,30","603,00"
521,1,"1,89","705,40","45,50"
522,1,"2,86","2398,80","56,70"
523,1,"2,01","1357,40","53,20"
524,1,"3,41","2269,70","437,50"
